PID,Brand,Model No,Inhouse model no.,Shape,Alpha Size,Size,Plating Color,Paint Color,Lens Type,Lens Code,Lens tint color,Tips Shape,Tips color,Tip Code,TR Part Code,A Width (mm),B Height (mm),DBL (mm),Temple Length (mm)
93668,VC Sun,VC 5158/P,VC 5158/P,Aviator,140,M,Gold,,Sunglass,SB15,AQUA,Common tips(5158),Black opaque,,-,57,50,16,140
108541,VC Sun,VC 5158/P,VC 5158/P,Aviator,140,M,Black Chrome,Matt Black,Sunglass,S09,Charcoal grey,Common tips(5158),Black opaque,,-,57,50,16,140
123978,VC Sun,VC 5158/P,VC 5158/P,Aviator,140,M,Gold,,Sunglass,G-15,green solid,Common tips(5158),Black opaque,,-,57,49,16,140
135529,VC Sun,VC S12593/P,VC S12593/P,Geometric,143,W,Black Chrome,Matt Black,Sunglass,,Grey,original,Black opaque,,-,58,50,16,148
135531,VC Sun,VC S12593/P,VC S12593/P,Geometric,143,W,Silver with EPL,,Sunglass,,,original,Black opaque,,-,58,50,16,148
135532,VC Sun,VC S12593/P,VC S12593/P,Geometric,143,W,,,Sunglass,,,original,,,-,58,50,16,148
138420,VC Sun,VC S13118,VC S13118,Rectangle,144,W,Black Chrome,Matt Black,Sunglass,S-10,Dark smoke,original,Black opaque,,-,57,46.6,13.2,145
143886,LK BLu,LB E13529,LBE13529,Clubmaster,136,M,Silver with EPL,,PC,Non power reading,Transparent,Original,Black opaque,,Black,49,41,22,147
143887,LK BLU,LB E13529,LB E13529,Clubmaster,136,M,Dark gun metal with epl,,PC,Non power reading,Transparent,Original,Transparent,,Transparent,49,41,22,147
143888,LK BLu,LB E13529,LBE13529,Clubmaster,136,M,Gold,Rose gold,PC,Non power reading,Transparent,Original,Demi,,Demi,49,41,22,147
143890,LK BLu,LB E13529,LBE13529,Clubmaster,136,M,Light gun metal with EPL,,PC,Non power reading,Transparent,Original,Grey transparent,,Grey transparent,49,41,22,147
147939,VC Eye,VC E12395-XL,VCE12395,Rectangle,141,W,Gun Metal,Blue,Dummy,65x1.2x3C,Transparent,Original,Blue,,-,55.8,39.5,16,140
147940,VC Eye,VC E12395 XL,VCE12395,Rectangle,141,W,Light gold W/O EPL,Black,Dummy,65x1.2x3C,Transparent,Original,Black opaque,,-,55.8,39.5,16,140
149036,VC Sun,VC S13115,VCS13115,Rectangle,135,N,Black Chrome,Matt Black,Sunglass,G-15,green solid,Original,Black opaque,,-,52,42,14,145
149041,VC Sun,VC S13137,VCS13137,Round,135,M,Black Chrome,Matt Black,Sunglass,S-10,Dark smoke,Original,Black opaque,,-,49.6,45.6,20,145
149045,VC Sun,VC S13137,VCS13137,Round,135,M,Silver with EPL,,Sunglass,G-15,green solid,Original,Black opaque,,-,50,45,20,145
149273,VC Sun,VC S13110,VC S13110,Aviator,143,W,Black Chrome,Matt Black,Sunglass,S-10,Dark smoke,Original,Black opaque,,-,57,51.3,15.2,145
149276,VC Sun,VC S13112,VC S13112,Round,137,M,Black Chrome,Matt Black,Sunglass,S-10,Dark smoke,Original,Black opaque,,-,51,47.2,21,145
151374,VC Sun,VC S14506,VC S14506,Geometric,140,M,Silver with EPL,,Sunglass,S-10,Dark smoke,Original,Black opaque,,-,56,46.6,17.3,145
151377,VC Sun,VC S14506,VC S14506,Geometric,140,M,Silver with EPL,,Sunglass,G-15,green solid,Original,Maroon,,-,56,46.6,17,145
204531,VC Sun,VC 5158/P,VC 5158/P,Aviator,141,M,Black Chrome,Matt Black,Sunglass,,,Original,,,-,57,49.3,16,140
204822,VC Sun,VC S 5158,VC S 5158,Aviator,140,M,Gold,,Sunglass,Green,Green,Original,,,-,57,49.3,16,140
206750,VC Sun,VC S15399,VC S15399,Rectangle,139,M,Gold,,Sunglass,Blue,Blue,Original,Blue,,-,56,42.3,17,145
209586,VC Sun,VC S13121,VCS13121,Geometric,135,N,Silver with EPL,,Sunglass,G-15,green solid,Original,,,-,49,42,19,140
211305,VC Eye,VC E11891,VCE11891,Rectangle,138,W,Silver with EPL,,Dummy,65x1.2x3C,Transparent,Original,,,-,56,36.3,15.8,145
211306,VC Eye,VC E12422,VCE12422,Square,129,N,Silver with EPL,,Dummy,65x1.2x3C,Transparent,Original,,,-,53,43.7,13,145
218966,VC Eye,VC E12400,VCE12400,Cateye/ Women,134,M,Gold W/O EPL,Matt Black,Dummy,65x1.2x3C,Transparent,Original,,,-,52,38.6,16,140
218967,VC Eye,VC E12400,VCE12400,Cateye/ Women,130,N,Gold W/O EPL,Matt Black,Dummy,65x1.2x3C,Transparent,Original,,,-,50,37.6,15,140
218970,VC Eye,VC E13396,VCE13396,Rectangle,136,M,Silver W/O EPL,Black,Dummy,65x1.2x3C,Transparent,Original,,,-,54,33.1,15,140
218975,VC Eye,VC E13624,VC E13624,Square,136,M,Light Gun Metal,Shiny Black,Dummy,65x1.2x3C,Transparent,Original,,,-,53,40.3,16,145
218976,VC Eye,VC E13624,VCE13624,Rectangle,132,N,Dark gun metal with epl,Shiny Black,Dummy,65x1.2x3C,Transparent,Original,,,-,55,38.9,16,145
218989,VC Eye,VC E14319,VC E14319,Square,136,M,Black Chrome,Matt Black,Dummy,65x1.2x3C,Transparent,Original,,,-,53,42.9,17,145
218990,VC Eye,VC E14319,VCE14319,Square,132,N,Black Chrome,Matt Black,Dummy,65x1.2x3C,Transparent,Original,,,-,51,41.2,17,145
219181,VC Eye,VC E13393,VC E13393,Cateye/ Women,132,N,Silver with EPL,,Dummy,65x1.2x3C,Transparent,Original,,,-,52,35.4,17,135
219182,VC Eye,VC E13393,VC E13393,Cateye/ Women,136,M,Silver with EPL,,Dummy,65x1.2x3C,Transparent,Original,,,-,52,35.4,17,135
219183,VC Eye,VC E13393,VC E13393,Cateye/ Women,140,W,Silver,,Dummy,65x1.2x3C,Transparent,Original,,,-,56,37.9,17,140
219184,VC Eye,VC E13786,VC E13786,Geometric,132,N,Silver,Black,Dummy,65x1.2x3C,Transparent,Original,,,-,50,46.2,20,146
219185,VC Eye,VC E13786,VC E13786/M,Geometric,136,M,Dark gun metal with epl,,Dummy,65x1.2x3C,Transparent,Original,,,-,49,47,20,146
219186,VC Eye,VC E13786,VC E13786,Geometric,138,W,Light gun metal with EPL,,Dummy,65x1.2x3C,Transparent,Original,,,-,52,48.8,20,146
219187,VC Eye,VC E13624,VC E13624,Rectangle,140,W,Gun Metal,,Dummy,65x1.2x3C,Transparent,Original,,,-,55,41.4,17,145
219188,VC Eye,VC E13624,VC E13624,Rectangle,132,N,Gun Metal,,Dummy,65x1.2x3C,Transparent,Original,,,-,55,38.9,17,145
219189,VC Eye,VC E13624,VC E13624,Rectangle,136,N,,Light Gun Metal with EPL,Dummy,65x1.2x3C,Transparent,Original,,,-,55,38,17,145
219190,VC Eye,VC E13394,VC E13394,Round,128,N,Silver with EPL,,Dummy,65x1.2x3C,Transparent,Original,,,-,48,42.8,20,140
219191,VC Eye,VC E13394,VC E13394,Round,134,M,Silver,,Dummy,65x1.2x3C,Transparent,Original,,,-,48,44.2,12,140
219192,VC Eye,VC E13394,VC E13394,Round,139,W,Silver,,Dummy,65x1.2x3C,Transparent,Original,,,-,48,46.8,20,140
219193,VC Eye,VC E14319,VC E14319,Square,140,W,Black Chrome,Matt Black,Dummy,65x1.2x3C,Transparent,Original,,,-,55,45.5,17,145
219194,VC Eye,VC E14319,VC E14319,Square,134,N,Shiny Black,,Dummy,65x1.2x3C,Transparent,Original,,,-,48,41,16,145
219195,VC Eye,VC E14319,VC E14319,Square,136,M,Shiny Black,,Dummy,65x1.2x3C,Transparent,Original,,,-,55,42.9,17,145
219196,VC Eye,VC E11891,VC E11891,Rectangle,134,M,Dark gun metal with epl,,Dummy,65x1.2x3C,Transparent,Original,,,-,53,34,17,140
219197,VC Eye,VC E13396,VC E13396,Rectangle,132,N,Silver,,Dummy,65x1.2x3C,Transparent,Original,,,-,50,31.4,15,147
220655,LB E,LB E17370,VC 5158/P,Aviator,139,W,Gold,,PC,65x1.2x3C,Transparent,Common tips(5158),Black opaque,,-,57,49.3,16,140
220656,LB E,LB E17370,VC 5158/P,Aviator,137,M,Silver with EPL,,PC,Non power reading,Transparent,Common tips(5158),Black opaque,,-,57,49.3,16,140
220657,LB E,LB E17370,VC 5158/P,Aviator,139,W,Black Chrome,Matt Black,PC,Non power reading,Transparent,Common tips(5158),Black opaque,,-,57,49.3,16,140
220658,LB E,LB E17371,VC E13624,Rectangle,140,W,Dark gun metal with epl,,PC,Non power reading,Transparent,VC E 13624,Black opaque,,-,55,41,17,145
220659,LB E,LB E17371,VC E13624,Square,140,W,Shiny Black,,PC,Non power reading,Transparent,VC E 13624,Black opaque,,-,55,41,17,145
220770,LB E,LB E17372,VC E13786,Geometric,139,W,Gold,,PC,Non power reading,Transparent,VC E 13786,Black opaque,,-,52,48.8,19,146
220771,LB E,LB E17372,VC E13786,Geometric,139,W,Dark gun metal with epl,,PC,Non power reading,Transparent,VC E 13786,Black opaque,,-,52,48.8,20,146
220772,LB E,LB E17372,VC E13786,Geometric,139,W,Black Chrome,,PC,Non power reading,Transparent,VC E 13786,Black opaque,,-,52,48.8,19,146
220773,LB E,LB E17373,VC E14319,Aviator,140,W,Dark gun metal with epl,,PC,Non power reading,Transparent,VC E14319,Transparent grey,,-,55,44.5,17,145
220774,LB E,LB E17373,VC E14319,Aviator,139,W,Black Chrome,,PC,Non power reading,Transparent,VC E14319,Transparent grey,,-,55,44.5,17,145
220775,LB E,LB E17374,VCE14318,Square,140,W,Dark gun metal with epl,,PC,Non power reading,Transparent,VCE14318,Black opaque,,-,54,44.2,18,145
220776,LB E,LB E17374,VC E14318,Square,141,W,Black Chrome,,PC,Non power reading,Transparent,VC E14318,Black opaque,,-,54,44.2,19,145
220777,LB E,LB E17375,VCE14316,Geometric,136,M,Dark gun metal with epl,,PC,Non power reading,Transparent,VCE14316,Black opaque,,-,53,39.8,17,150
220778,LB E,LB E17375,VCE14316,Rectangle,136,M,Black Chrome,,PC,Non power reading,Transparent,VCE14316,Black opaque,,-,53,39.8,17,150
220779,LB E,LB E17376,VC E 12423,Round,139,W,Dark gun metal with epl,,PC,Non power reading,Transparent,VC E 12423,Black opaque,,-,52,45.6,19,140
220780,LB E,LB E17376,VC E 12423,Round,139,W,Black Chrome,Matt Black,PC,Non power reading,Transparent,VC E 12423,Black opaque,,-,52,45.6,19,140
222221,VC Sun,VC S17516,M-3025,Aviator,146,XW,,,Sunglass,,,Common tips(5158),Black opaque,,-,63,52,15,144
222753,VC Sun,VC S000151,VC 5158/P,Aviator,140,M,Dark gun metal with epl,,Sunglass,,,Original,,,-,57,47,16,140
222754,VC Sun,VC S000151,VC 5158/P,Aviator,140,M,Light Gun Metal,,Sunglass,,,Original,,,-,57,47,16,140
225331,VC Eye,VC E12423,VC E12423,Round,134,W,Gold,,Dummy,65x1.2x3C,Transparent,Original,,,-,50,45.6,17,140
225332,VC Eye,VC E12422,VC E12422,Square,138,W,Black Chrome,,Dummy,65x1.2x3C,Transparent,Original,,,-,56,47.3,13,145
225333,VC Eye,VC E13634,VC E13634,Geometric,132,M,Black Chrome,Matt Black,Dummy,65x1.2x3C,Transparent,Original,,,-,52,44.5,16,145
225334,VC Eye,VC E14035,VC E14035,Round,130,N,Dark Gun Metal W/O EPL,Black,Dummy,65x1.2x3C,Transparent,Original,,,-,50,44.2,20,145
225335,VC Eye,VC E14209,VC E14209,Square,132,N,Gun Metal,Blue,Dummy,65x1.2x3C,Transparent,Original,,,-,51,43.2,18,145
225336,VC Eye,VC E13788,VC E13788,Geometric,128,XN,Black Chrome,Matt Black,Dummy,65x1.2x3C,Transparent,Original,,,-,48,41.3,18,145
225337,VC Eye,VC E15069,VC E15069,Round,128,XN,Silver,,Dummy,65x1.2x3C,Transparent,Original,,,-,47,44,19,145
225338,VC Eye,VC E13785,VC E13785,Geometric,133,N,Gun Metal,,Dummy,65x1.2x3C,Transparent,Original,,,-,52,42.1,17,144
225339,VC Eye,VC E12400-W,VCE12400,Cateye/ Women,139,W,Light gold W/O EPL,Black,Dummy,65x1.2x3C,Transparent,Original,,,-,54,40.5,16,140
225340,VC Eye,VC E12400-M,VCE12400,Cateye/ Women,134,M,Light gold W/O EPL,Black,Dummy,65x1.2x3C,Transparent,Original,,,-,52,38.6,15,140
225341,VC Eye,VC E12400,VC E12400,Cateye/ Women,130,N,Gold W/O EPL,Matt Black,Dummy,65x1.2x3C,Transparent,Original,,,-,50,37.6,16,140
229311,VC Eye,VC E13788,VC E13788,Geometric,129,XN,Silver,Matt Silver,Dummy,65x1.2x3C,Transparent,Original,,,-,48,41.3,18,144
229312,LB E,LB E17869,VCE13788,Geometric,129,XN,Silver W/O EPL,Navy Blue,PC,Non power reading,Transparent,VCE13788,Black opaque,,-,49,41.3,18,144
229313,LB E,LB E17870,VCS13112,Round,136,M,Dark gun metal with epl,,PC,Non power reading,Transparent,VCS13112,Black opaque,,-,50,47.2,21,142
229314,LB E,LB E17870,VCS13112,Round,136,M,Silver W/O EPL,Navy Blue,PC,Non power reading,Transparent,VCS13112,Black opaque,,-,50,47.2,21,142
229315,VC Eye,VC E14321,VC E14321,Aviator,133,N,Black Chrome,Matt Black,Dummy,65x1.2x3C,Transparent,Original,,,-,54,43.5,15,145
229316,VC Eye,VC E14321,VC E14321,Aviator,133,N,Silver,Matt Silver,Dummy,65x1.2x3C,Transparent,Original,,,-,54,43.5,15,145
229317,LB E,LB E17872,VCS13137,Round,140,M,Dark gun metal with epl,,PC,Non power reading,Transparent,VCS13137,Black opaque,,-,50,45.6,20,145
229318,LB E,LB E17872,VCS13137,Round,134,M,Black Chrome,Matt Black,PC,Non power reading,Transparent,VCS13137,Black opaque,,-,50,34,20,145
229319,LB E,LB E17873,VCS15403,Geometric,137,M,Dark gun metal with epl,,PC,Non power reading,Transparent,VCS15403,Black opaque,,-,54,45.8,18,133
229320,VC Sun,VC S15403,VC S15403,Geometric,137,M,Silver,Blue,Sunglass,,,Original,,,-,54,45.8,18,133
229321,LB E,LB E17874,VCE12422,Aviator,137,W,Silver W/O EPL,Navy Blue,PC,Non power reading,Transparent,VCE12422,Black opaque,,-,57,47.2,13,145
229322,LB E,LB E17874,VCE12422,Square,137,M,Silver W/O EPL,Matt Silver,PC,Non power reading,Transparent,VCE12422,Black opaque,,-,57,47.2,13,145
229323,VC Sun,VC S15398,VC S15398,Round,133,W,Silver,Matt Silver,Sunglass,,,Original,,,-,54,45.7,17,133
229324,LB E,LB E17875,VCS15398,Round,138,W,Black Chrome,Matt Black,PC,Non power reading,Transparent,VCS15398,Demi,,-,57,45.7,17,133
229325,VC Eye,VC E13394,VC E13394,Round,139,W,Black Chrome,Matt Black,Dummy,65x1.2x3C,Transparent,Original,,,-,53,46.8,20,140
